Ativo,Ativo Meta,Empresa,Tendencia 200 dias,Gap Relevante 7 dias,Rompimento 20 dias,Topos e Fundos,SP500 em baixa,3 Balanço negativo,Setor Fragilizado,negativas de lucro (EPS),Short Float 10,ATR acima da média 3 meses,Histórico com gaps relevantes,próxima entrada,proximo Balanco,Total
ALB,ALB.NYSE,Albemarle Corporation,19.35,-15.05,0.0,0.0,0,0.0,-3.23,0.0,2.15,0.0,46.24,2025-07-25,2025-07-30,49.46
CMCSA,CMCSA.NAS,Comcast Corporation,19.35,0.0,30.11,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-27,2025-10-30,49.46
IEX,IEX.NYSE,IDEX Corporation,19.35,0.0,30.11,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23,2025-10-28,49.46
ACN,ACN.NYSE,Accenture plc,0.0,-15.05,30.11,-12.9,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-09-19,2025-09-24,48.4
PM,PM.NYSE,Philip Morris International Inc.,0.0,-15.05,30.11,-12.9,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-10-16,2025-10-21,48.4
GDDY,GDDY.NYSE,GoDaddy Inc.,0.0,-15.05,30.11,-12.9,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-11-03,2025-11-06,48.4
NKE,NKE.NYSE,"NIKE, Inc.",19.35,-15.05,0.0,0.0,0,0.0,0.0,0.0,0.0,-2.15,46.24,2025-09-25,2025-09-30,48.39
DLTR,DLTR.NAS,"Dollar Tree, Inc.",19.35,-15.05,0.0,0.0,0,0.0,0.0,0.0,0.0,-2.15,46.24,2025-08-28,2025-09-02,48.39
OXY,OXY.NYSE,Occidental Petroleum Corporation,19.35,0.0,30.11,0.0,0,0.0,0.0,0.0,0.0,-2.15,0.0,2025-08-01,2025-08-06,47.31
HUM,HUM.NYSE,Humana Inc.,19.35,-15.05,0.0,0.0,0,0.0,-3.23,0.0,0.0,0.0,46.24,2025-07-25,2025-07-30,47.31
DXCM,DXCM.NAS,"DexCom, Inc.",19.35,-15.05,0.0,0.0,0,0.0,-3.23,0.0,0.0,0.0,46.24,2025-10-27,2025-10-30,47.31
CRL,CRL.NYSE,"Charles River Laboratories International, Inc.",19.35,-15.05,0.0,0.0,0,0.0,-3.23,0.0,0.0,0.0,46.24,2025-10-31,2025-11-05,47.31
WST,WST.NYSE,"West Pharmaceutical Services, Inc.",19.35,-15.05,0.0,0.0,0,0.0,-3.23,0.0,0.0,0.0,46.24,2025-10-20,2025-10-23,47.31
ALGN,ALGN.NAS,"Align Technology, Inc.",19.35,-15.05,0.0,0.0,0,0.0,-3.23,0.0,0.0,0.0,46.24,2025-10-24,2025-10-29,47.31
DVN,DVN.NYSE,Devon Energy Corporation,19.35,0.0,30.11,0.0,0,0.0,0.0,0.0,0.0,-2.15,0.0,2025-10-30,2025-11-04,47.31
PPG,PPG.NYSE,"PPG Industries, Inc.",19.35,0.0,30.11,0.0,0,0.0,-3.23,0.0,0.0,0.0,0.0,2025-10-10,2025-10-15,46.230000000000004
WAT,WAT.NYSE,Waters Corporation,0.0,-15.05,30.11,-12.9,0,0.0,-3.23,0.0,0.0,-2.15,46.24,2025-10-28,2025-10-31,43.02
SWK,SWK.NYSE,"Stanley Black & Decker, Inc.",19.35,-15.05,30.11,0.0,0,-38.71,0.0,0.0,0.0,0.0,46.24,2025-10-24,2025-10-29,41.94
APTV,APTV.NYSE,Aptiv PLC,19.35,-15.05,30.11,0.0,0,-38.71,0.0,0.0,0.0,0.0,46.24,2025-10-27,2025-10-30,41.94
SWKS,SWKS.NAS,"Skyworks Solutions, Inc.",19.35,-15.05,30.11,0.0,0,-38.71,0.0,0.0,0.0,0.0,46.24,2025-07-31,2025-08-05,41.94
ELV,ELV.NYSE,"Elevance Health, Inc.",19.35,-15.05,30.11,0.0,0,-38.71,-3.23,0.0,0.0,-2.15,46.24,2025-10-13,2025-10-16,36.559999999999995
AVGO,AVGO.NAS,Broadcom Inc.,0.0,-15.05,0.0,0.0,0,0.0,0.0,0.0,2.15,0.0,46.24,2025-08-29,2025-09-03,33.34
PARA,PARA.NAS,Paramount Global,0.0,-15.05,0.0,0.0,0,0.0,0.0,0.0,2.15,0.0,46.24,2025-07-28,2025-07-31,33.34
MNST,MNST.NAS,Monster Beverage Corporation,0.0,-15.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-11-03,2025-11-06,31.19
VST,VST.NYSE,Vistra Corp.,0.0,-15.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-11-03,2025-11-06,31.19
PLTR,PLTR.NAS,Palantir Technologies Inc.,0.0,-15.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-10-29,2025-11-03,31.19
AON,AON.NYSE,Aon plc,0.0,-15.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-10-21,2025-10-24,31.19
WSM,WSM.NYSE,"Williams-Sonoma, Inc.",0.0,-15.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-08-25,2025-08-28,31.19
WFC,WFC.NYSE,Wells Fargo & Company,0.0,-15.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-07-10,2025-07-15,31.19
GRMN,GRMN.NYSE,Garmin Ltd.,0.0,-15.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-10-24,2025-10-29,31.19
KVUE,KVUE.NYSE,Kenvue Inc.,0.0,-15.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-11-03,2025-11-06,31.19
KEY,KEY.NYSE,KeyCorp,0.0,-15.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-10-13,2025-10-16,31.19
KEYS,KEYS.NYSE,"Keysight Technologies, Inc.",0.0,-15.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-08-14,2025-08-19,31.19
JCI,JCI.NYSE,Johnson Controls International plc,0.0,-15.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-07-24,2025-07-29,31.19
JBL,JBL.NYSE,Jabil Inc.,0.0,-15.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-09-19,2025-09-24,31.19
APH,APH.NYSE,Amphenol Corporation,0.0,-15.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-10-17,2025-10-22,31.19
TPR,TPR.NYSE,"Tapestry, Inc.",0.0,-15.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-08-11,2025-08-14,31.19
AXON,AXON.NAS,"Axon Enterprise, Inc.",0.0,-15.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-07-30,2025-08-04,31.19
PAYC,PAYC.NYSE,"Paycom Software, Inc.",0.0,-15.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-10-31,2025-11-05,31.19
WBD,WBD.NAS,"Warner Bros. Discovery, Inc.",0.0,-15.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-11-03,2025-11-06,31.19
WDC,WDC.NAS,Western Digital Corporation,0.0,-15.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-10-20,2025-10-23,31.19
NVDA,NVDA.NAS,NVIDIA Corporation,0.0,-15.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-08-22,2025-08-27,31.19
EXPE,EXPE.NAS,"Expedia Group, Inc.",0.0,-15.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-11-03,2025-11-06,31.19
GL,GL.NYSE,Globe Life Inc.,0.0,-15.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-10-17,2025-10-22,31.19
DLR,DLR.NYSE,"Digital Realty Trust, Inc.",0.0,-15.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-10-20,2025-10-23,31.19
DPZ,DPZ.NAS,"Domino's Pizza, Inc.",0.0,-15.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-10-06,2025-10-09,31.19
INTU,INTU.NAS,Intuit Inc.,0.0,-15.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-08-18,2025-08-21,31.19
NCLH,NCLH.NYSE,Norwegian Cruise Line Holdings Ltd.,0.0,-15.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-10-27,2025-10-30,31.19
SRE,SRE.NYSE,Sempra,0.0,-15.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-10-31,2025-11-05,31.19
SBUX,SBUX.NAS,Starbucks Corporation,0.0,-15.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-10-23,2025-10-28,31.19
DECK,DECK.NYSE,Deckers Outdoor Corporation,0.0,-15.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-10-20,2025-10-23,31.19
