Ativo,Ativo Meta,Empresa,Tendencia 200 dias,Gap Relevante 7 dias,Rompimento 20 dias,Topos e Fundos,SP500 em baixa,3 Balanço negativo,Setor Fragilizado,negativas de lucro (EPS),Short Float 10,ATR acima da média 3 meses,Histórico com gaps relevantes,próxima entrada,proximo Balanco,Total
MU,MU.NAS,"Micron Technology, Inc.",0.0,-15.05,30.11,0.0,0,-38.71,0.0,0.0,0.0,0.0,46.24,2025-09-19,2025-09-24,22.59
F,F.NYSE,Ford Motor Company,0.0,-15.05,30.11,0.0,0,-38.71,0.0,0.0,0.0,0.0,46.24,2025-10-24,2025-10-29,22.59
CRWD,CRWD.NAS,"CrowdStrike Holdings, Inc.",0.0,-15.05,30.11,0.0,0,-38.71,0.0,0.0,0.0,-2.15,46.24,2025-08-22,2025-08-27,20.44
BBY,BBY.NYSE,"Best Buy Co., Inc.",0.0,-15.05,30.11,0.0,0,-38.71,0.0,0.0,0.0,-2.15,46.24,2025-08-25,2025-08-28,20.44
EFX,EFX.NYSE,Equifax Inc.,0.0,-15.05,30.11,0.0,0,-38.71,0.0,0.0,0.0,-2.15,46.24,2025-10-10,2025-10-15,20.44
EMN,EMN.NYSE,Eastman Chemical Company,0.0,-15.05,30.11,0.0,0,-38.71,-3.23,0.0,0.0,0.0,46.24,2025-10-27,2025-10-30,19.36
MOS,MOS.NYSE,The Mosaic Company,0.0,-15.05,30.11,0.0,0,-38.71,-3.23,0.0,0.0,0.0,46.24,2025-07-31,2025-08-05,19.36
PEP,PEP.NAS,"PepsiCo, Inc.",19.35,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-02,2025-10-07,19.35
FANG,FANG.NAS,"Diamondback Energy, Inc.",19.35,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-29,2025-11-03,19.35
BEN,BEN.NYSE,"Franklin Resources, Inc.",19.35,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-29,2025-08-01,19.35
AOS,AOS.NYSE,A. O. Smith Corporation,19.35,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-16,2025-10-21,19.35
HST,HST.NAS,"Host Hotels & Resorts, Inc.",19.35,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-25,2025-07-30,19.35
ON,ON.NAS,ON Semiconductor Corporation,19.35,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-29,2025-11-03,19.35
COF,COF.NYSE,Capital One Financial Corporation,0.0,-15.05,0.0,-12.9,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-10-20,2025-10-23,18.29
COO,COO.NAS,"The Cooper Companies, Inc.",0.0,-15.05,30.11,0.0,0,-38.71,-3.23,0.0,0.0,-2.15,46.24,2025-08-22,2025-08-27,17.21
ROP,ROP.NAS,"Roper Technologies, Inc.",0.0,0.0,30.11,-12.9,0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-17,2025-10-22,17.21
PG,PG.NYSE,The Procter & Gamble Company,0.0,0.0,30.11,-12.9,0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-13,2025-10-16,17.21
PSA,PSA.NYSE,Public Storage,0.0,0.0,30.11,-12.9,0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-27,2025-10-30,17.21
UNH,UNH.NYSE,UnitedHealth Group Incorporated,0.0,-15.05,30.11,0.0,0,-38.71,-3.23,0.0,0.0,-2.15,46.24,2025-10-10,2025-10-15,17.21
AIG,AIG.NYSE,"American International Group, Inc.",0.0,0.0,30.11,-12.9,0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-30,2025-11-04,17.21
BRO,BRO.NYSE,"Brown & Brown, Inc.",0.0,0.0,30.11,-12.9,0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-22,2025-10-27,17.21
CTSH,CTSH.NAS,Cognizant Technology Solutions Corporation,0.0,0.0,30.11,-12.9,0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-24,2025-10-29,17.21
JBHT,JBHT.NAS,"J.B. Hunt Transport Services, Inc.",19.35,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-2.15,0.0,2025-07-10,2025-07-15,17.200000000000003
COP,COP.NYSE,ConocoPhillips,19.35,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-2.15,0.0,2025-10-27,2025-10-30,17.200000000000003
ZBH,ZBH.NYSE,"Zimmer Biomet Holdings, Inc.",19.35,0.0,0.0,0.0,0,0.0,-3.23,0.0,0.0,0.0,0.0,2025-10-27,2025-10-30,16.12
MMC,MMC.NYSE,"Marsh & McLennan Companies, Inc.",0.0,0.0,30.11,-12.9,0,0.0,0.0,0.0,0.0,-2.15,0.0,2025-07-14,2025-07-17,15.06
MKC,MKC.NYSE,"McCormick & Company, Incorporated",0.0,0.0,30.11,-12.9,0,0.0,0.0,0.0,0.0,-2.15,0.0,2025-09-25,2025-09-30,15.06
PGR,PGR.NYSE,The Progressive Corporation,0.0,0.0,30.11,-12.9,0,0.0,0.0,0.0,0.0,-2.15,0.0,2025-07-30,2025-08-04,15.06
MGM,MGM.NYSE,MGM Resorts International,19.35,-15.05,0.0,0.0,0,-38.71,0.0,0.0,2.15,0.0,46.24,2025-10-24,2025-10-29,13.980000000000004
GPC,GPC.NYSE,Genuine Parts Company,19.35,-15.05,0.0,0.0,0,-38.71,0.0,0.0,0.0,0.0,46.24,2025-10-16,2025-10-21,11.830000000000005
EL,EL.NYSE,The Estée Lauder Companies Inc.,19.35,-15.05,0.0,0.0,0,-38.71,0.0,0.0,0.0,0.0,46.24,2025-08-15,2025-08-20,11.830000000000005
MRNA,MRNA.NAS,"Moderna, Inc.",19.35,-15.05,0.0,0.0,0,-38.71,-3.23,0.0,2.15,0.0,46.24,2025-07-29,2025-08-01,10.750000000000007
AKAM,AKAM.NAS,"Akamai Technologies, Inc.",19.35,0.0,30.11,0.0,0,-38.71,0.0,0.0,0.0,0.0,0.0,2025-11-03,2025-11-06,10.75
CZR,CZR.NAS,"Caesars Entertainment, Inc.",19.35,0.0,30.11,0.0,0,-38.71,0.0,0.0,2.15,-2.15,0.0,2025-07-24,2025-07-29,10.75
